unix_ts,iso_time,control,command,field_name,value,raw_hex
1785780307.255305,2026-08-03T14:05:07.255-04:00,0x80,0x05,target_x_cm,27,53 59 80 05 00 06 00 1b 00 34 00 00 86 54 43
1785780307.255305,2026-08-03T14:05:07.255-04:00,0x80,0x05,target_y_cm,52,53 59 80 05 00 06 00 1b 00 34 00 00 86 54 43
1785780307.255305,2026-08-03T14:05:07.255-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1b 00 34 00 00 86 54 43
1785780307.866116,2026-08-03T14:05:07.866-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780308.067296,2026-08-03T14:05:08.067-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780308.269352,2026-08-03T14:05:08.269-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780308.678971,2026-08-03T14:05:08.678-04:00,0x85,0x02,heart_rate_bpm,71,53 59 85 02 00 01 47 7b 54 43
1785780309.083798,2026-08-03T14:05:09.083-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780309.083798,2026-08-03T14:05:09.083-04:00,0x80,0x05,target_x_cm,26,53 59 80 05 00 06 00 1a 00 34 00 00 85 54 43
1785780309.083798,2026-08-03T14:05:09.083-04:00,0x80,0x05,target_y_cm,52,53 59 80 05 00 06 00 1a 00 34 00 00 85 54 43
1785780309.083798,2026-08-03T14:05:09.083-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1a 00 34 00 00 85 54 43
1785780309.494784,2026-08-03T14:05:09.494-04:00,0x81,0x02,breathing_rate_bpm,14,53 59 81 02 00 01 0e 3e 54 43
1785780309.910488,2026-08-03T14:05:09.910-04:00,0x80,0x02,motion_state,2,53 59 80 02 00 01 02 31 54 43
1785780309.910488,2026-08-03T14:05:09.910-04:00,0x80,0x03,body_movement,2,53 59 80 03 00 01 02 32 54 43
1785780310.116874,2026-08-03T14:05:10.116-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780310.936534,2026-08-03T14:05:10.936-04:00,0x80,0x03,body_movement,7,53 59 80 03 00 01 07 37 54 43
1785780311.139699,2026-08-03T14:05:11.139-04:00,0x80,0x05,target_x_cm,31,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780311.139699,2026-08-03T14:05:11.139-04:00,0x80,0x05,target_y_cm,50,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780311.139699,2026-08-03T14:05:11.139-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780311.543416,2026-08-03T14:05:11.543-04:00,0x85,0x02,heart_rate_bpm,74,53 59 85 02 00 01 4a 7e 54 43
1785780311.955152,2026-08-03T14:05:11.955-04:00,0x80,0x03,body_movement,11,53 59 80 03 00 01 0b 3b 54 43
1785780312.157318,2026-08-03T14:05:12.157-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780312.565697,2026-08-03T14:05:12.565-04:00,0x81,0x02,breathing_rate_bpm,15,53 59 81 02 00 01 0f 3f 54 43
1785780312.773550,2026-08-03T14:05:12.773-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780312.976497,2026-08-03T14:05:12.976-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780313.180210,2026-08-03T14:05:13.180-04:00,0x80,0x05,target_x_cm,11,53 59 80 05 00 06 00 0b 00 39 00 00 7b 54 43
1785780313.180210,2026-08-03T14:05:13.180-04:00,0x80,0x05,target_y_cm,57,53 59 80 05 00 06 00 0b 00 39 00 00 7b 54 43
1785780313.180210,2026-08-03T14:05:13.180-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 0b 00 39 00 00 7b 54 43
1785780313.993878,2026-08-03T14:05:13.993-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780313.993878,2026-08-03T14:05:13.993-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780314.406173,2026-08-03T14:05:14.406-04:00,0x85,0x02,heart_rate_bpm,77,53 59 85 02 00 01 4d 81 54 43
1785780314.813521,2026-08-03T14:05:14.813-04:00,0x80,0x02,motion_state,2,53 59 80 02 00 01 02 31 54 43
1785780314.813521,2026-08-03T14:05:14.813-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780315.016988,2026-08-03T14:05:15.016-04:00,0x80,0x05,target_x_cm,25,53 59 80 05 00 06 00 19 00 35 00 00 85 54 43
1785780315.016988,2026-08-03T14:05:15.016-04:00,0x80,0x05,target_y_cm,53,53 59 80 05 00 06 00 19 00 35 00 00 85 54 43
1785780315.016988,2026-08-03T14:05:15.016-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 19 00 35 00 00 85 54 43
1785780315.422621,2026-08-03T14:05:15.422-04:00,0x81,0x02,breathing_rate_bpm,17,53 59 81 02 00 01 11 41 54 43
1785780315.831440,2026-08-03T14:05:15.831-04:00,0x80,0x03,body_movement,23,53 59 80 03 00 01 17 47 54 43
1785780316.036071,2026-08-03T14:05:16.036-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780316.852138,2026-08-03T14:05:16.852-04:00,0x80,0x03,body_movement,3,53 59 80 03 00 01 03 33 54 43
1785780317.056353,2026-08-03T14:05:17.056-04:00,0x80,0x05,target_x_cm,31,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780317.056353,2026-08-03T14:05:17.056-04:00,0x80,0x05,target_y_cm,50,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780317.056353,2026-08-03T14:05:17.056-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780317.462706,2026-08-03T14:05:17.462-04:00,0x85,0x02,heart_rate_bpm,79,53 59 85 02 00 01 4f 83 54 43
1785780317.668242,2026-08-03T14:05:17.668-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780317.873771,2026-08-03T14:05:17.873-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780318.079125,2026-08-03T14:05:18.079-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780318.482291,2026-08-03T14:05:18.482-04:00,0x81,0x02,breathing_rate_bpm,18,53 59 81 02 00 01 12 42 54 43
1785780318.892784,2026-08-03T14:05:18.892-04:00,0x80,0x03,body_movement,2,53 59 80 03 00 01 02 32 54 43
1785780319.095843,2026-08-03T14:05:19.095-04:00,0x80,0x05,target_x_cm,31,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780319.095843,2026-08-03T14:05:19.095-04:00,0x80,0x05,target_y_cm,50,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780319.095843,2026-08-03T14:05:19.095-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780319.709074,2026-08-03T14:05:19.709-04:00,0x80,0x02,motion_state,2,53 59 80 02 00 01 02 31 54 43
1785780319.911273,2026-08-03T14:05:19.911-04:00,0x80,0x03,body_movement,2,53 59 80 03 00 01 02 32 54 43
1785780319.911273,2026-08-03T14:05:19.911-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780320.319749,2026-08-03T14:05:20.319-04:00,0x85,0x02,heart_rate_bpm,79,53 59 85 02 00 01 4f 83 54 43
1785780320.721413,2026-08-03T14:05:20.721-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780320.721413,2026-08-03T14:05:20.721-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780320.926559,2026-08-03T14:05:20.926-04:00,0x80,0x05,target_x_cm,29,53 59 80 05 00 06 00 1d 00 33 00 00 87 54 43
1785780320.926559,2026-08-03T14:05:20.926-04:00,0x80,0x05,target_y_cm,51,53 59 80 05 00 06 00 1d 00 33 00 00 87 54 43
1785780320.926559,2026-08-03T14:05:20.926-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1d 00 33 00 00 87 54 43
1785780321.328169,2026-08-03T14:05:21.328-04:00,0x81,0x02,breathing_rate_bpm,19,53 59 81 02 00 01 13 43 54 43
1785780321.737959,2026-08-03T14:05:21.737-04:00,0x80,0x02,motion_state,2,53 59 80 02 00 01 02 31 54 43
1785780321.737959,2026-08-03T14:05:21.737-04:00,0x80,0x03,body_movement,1,53 59 80 03 00 01 01 31 54 43
1785780321.943194,2026-08-03T14:05:21.943-04:00,0x80,0x04,target_distance_cm,59.0,53 59 80 04 00 02 00 3b 6d 54 43
1785780322.762875,2026-08-03T14:05:22.762-04:00,0x80,0x02,motion_state,1,53 59 80 02 00 01 01 30 54 43
1785780322.762875,2026-08-03T14:05:22.762-04:00,0x80,0x03,body_movement,2,53 59 80 03 00 01 02 32 54 43
1785780322.969453,2026-08-03T14:05:22.969-04:00,0x80,0x05,target_x_cm,31,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780322.969453,2026-08-03T14:05:22.969-04:00,0x80,0x05,target_y_cm,50,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780322.969453,2026-08-03T14:05:22.969-04:00,0x80,0x05,target_z_cm,0,53 59 80 05 00 06 00 1f 00 32 00 00 88 54 43
1785780323.379183,2026-08-03T14:05:23.379-04:00,0x85,0x02,heart_rate_bpm,79,53 59 85 02 00 01 4f 83 54 43
